,Costume,Count,Category
2,Wonder Woman,41,Characters and Movies
5,Harley Quinn,37,Characters and Movies
3,Clown,35,Occupations
8,Unicorn,31,Animals
4,Rabbit,19,Animals
12,Witch,15,Scary Costumes
11,Dinosaur,13,Animals
13,Zombie,12,Scary Costumes
6,Mouse,7,Animals
9,Pirate,7,Occupations
10,Moana,4,Characters and Movies
7,Superhero,3,Occupations
14,IT,3,Characters and Movies
15,Doll,3,Others
18,Batman,2,Characters and Movies
27,Princess,2,Occupations
22,Chicken,2,Animals
0,Ninja,2,Occupations
1,Monster,2,Scary Costumes
25,Chucky,2,Characters and Movies
31,Starbucks,1,Others
30,Joker,1,Characters and Movies
29,The Wizard of Oz,1,Characters and Movies
28,Catwoman,1,Characters and Movies
26,Scary Clown,1,Scary Costumes
16,Princess Jasmine,1,Characters and Movies
24,Star Wars,1,Characters and Movies
23,Lion,1,Animals
21,Vikings,1,Occupations
20,Cheerleader,1,Occupations
19,Skeleton,1,Scary Costumes
17,Belle,1,Characters and Movies
32,Queen of Hearts,1,Characters and Movies
